id,headline,tickers,tag_count
8673a872-b323-4795-b1b6-d649f89d0a90,"Q4 Results Highlights: Aditya Birla Fashion Q4 net loss widens, Ajmera Realty sales jump, Sundaram Finance, Hitachi Energy India profit up, Crizac hits upper circuit",AJMERA;CRIZAC;POWERINDIA;SUNDARMFIN,4
595753fa-2524-4c77-91a2-007a8fe77f40,"Vodafone Idea posts Rs 51,970 crore quarterly profit after AGR dues relief",IDEA,1
034aac33-6ec1-4261-98cf-8ae37c9d5dac,Nifty May futures trade at premium - Business Standard,,0
6100f52d-2a67-4fbf-8a85-19c9efb614bb,"India’s Credit Card Spending Hits ₹23.6 Trillion in FY2026: Key Trends, Risks & RBI Changes Explained",,0
82e516eb-7536-4a82-a67d-d9a63a0d5626,"Sensex, Nifty trade higher; Adani group stocks rally after US SEC case relief - The Tribune",,0
57428ff5-00af-4c70-90ff-0b07d9df712d,ixigo Rallies 6% After Q4 Profit Doubles To ₹32 Cr,IXIGO,1
326725fb-b03f-403f-a325-6869a3f76d1d,"Rajasthan's April revenue receipts up 15.7% to ₹11,235 crore - ET Government",,0
ba97567c-d931-4ecb-a217-b93544127ea6,Indian firms are turning to floating-rate bonds as interest rate hikes loom. Here’s why,,0
b51c84f3-34c0-4089-a8d7-5e953c0a0e9a,German Trade Fair Leader Messe Stuttgart Strengthens Presence in India with Acquisition of Cable & Wire Fair - The Tribune,,0
2635fa5c-b5d7-45aa-9062-12a93f395021,"Nifty Prediction Today – May 20, 2026: Nifty 50 futures: Can go either way. Stay out",,0
206ccd3c-3b7b-4fe9-bd5a-6566f7206fcf,"iOS 27 Release Date, Leaks, AI Features, Supported iPhones, Siri Upgrade, Requirements And More",,0
e1a9705d-de3e-4b99-834b-2b79fd1e18b2,CM wants land acquisition for PRLIS to be completed on a war footing,,0
1e61dfb2-48a3-4f39-b640-a9d06517e29f,"Buy or sell: Gift Nifty down, Vaishali Parekh recommends three stocks to buy today — 20 May 2026 - Mint",VAISHALI,1
96fc973f-78ac-4af5-9097-b863a121d854,"Nifty surrenders early gains, turns flat by midday as financials drag",,0
aceceba7-53c8-465e-ab2d-11987e5aad08,Cypriot President Christodoulides concludes India visit as ties upgrade to strategic partnership - Firstpost,,0
a83d7ecf-504a-4830-992f-9e26778247d9,"PSBs' net profit up 11.2% in FY26, hits new high of ₹1.98 trillion - Business Standard",,0
58f04fea-5030-487d-b5c7-c41a07dcea81,"Zee Ent slips to Rs 102-crore net loss in Q4, revenue falls 7% - financialexpress.com",,0
38cf0d4f-3d10-49f9-bcb8-c420069f4d19,"Apple WWDC 2026 dates and keynote timings confirmed: iOS 27, Siri AI upgrade likely to take center stage - financialexpress.com",TAKE,1
8498ddc2-33af-49c6-9140-e669bce1cdf9,"WeWork India Q4 profit rises 80%, revenue up at ₹715 cr",WEWORK,1
a98676d2-e49f-4b3d-9251-c5d66789cec4,Zepto Gets SEBI Nod For $1.2 Bn IPO,,0
223b22fd-c457-4936-9486-abe24843f0e5,"Indian markets can absorb 'different types of shocks', says Sebi chief amid West Asia crisis - The New Indian Express",,0
dce65548-bd7e-4804-a3e2-d7595aaadba2,Infra.Market To Raise Pre-IPO Round Of ₹500 Cr At $2.6 Bn Valuation,,0
d84cc675-e5d9-4f1c-a751-01beffab7b05,"Sensex today | Stock Market Live: Sensex trims gains after 500-point jump; Nifty above 23,700",,0
e19c9280-2e82-4ded-98d9-f88b8198da03,Net FDI rises in FY26 on higher gross inflows; portfolio investment flows weaken,,0
9598dabe-48f1-4734-b4c9-048004f8a6c7,Zepto Gets SEBI Nod For $1Bn IPO,,0
87d364f6-6bb4-4a1a-ab09-0510b481b550,"IT stocks lead Nifty, Sensex higher as geopolitical fears ease",,0
33aab89f-8cce-44c4-af8d-4d5b32d7105b,"Stock markets: Sensex, Nifty end higher as IT shares lift sentiment today - Deccan Herald",,0
