id,scraped_at,source_name,stratum,current_tags,headline,gate_label,ticker_label,role,notes
21b3efa5-2e46-461f-b30f-df0c2d468249,2026-06-03,NENews Online,A_high_volume,COALINDIA,Meghalaya: Body of missing man recovered from abandoned coal mine after six-day search,,,,
d564ea54-ece6-427e-b05a-69d6c1510c46,2026-06-09,Economic Times,A_high_volume,COALINDIA,"Coal Exchange Rules notified to enable transparent coal trading, market-based price discovery - ET EnergyWorld",,,,
048418af-37d7-454b-9751-aa05bd0d7930,2026-05-23,Outlook India,A_high_volume,COALINDIA,"90 Killed In China Coal Mine Blast, Rescue Operations Under Way - Outlook India",,,,
017aefc0-3132-4bb5-8da7-c48b80cf3bac,2026-05-24,Daily Excelsior,A_high_volume,COALINDIA,Rescuers race to find survivors after a deadly Chinese coal mine blast kills at least 82,,,,
293c2ba0-f3cd-4ee9-bd08-ebc84be033fd,2026-06-01,Telangana Today,A_high_volume,COALINDIA,"Srirampur, Mandamarri Areas trail in monthly coal production",,,,
f4f57748-21fd-4360-a5e2-ca861a64d908,2026-06-08,Siasat,A_high_volume,COALINDIA,"Centre has coal reserves for 80 days, says Kishan Reddy",,,,
27f4d3bf-702c-4c28-b995-e9f91493106a,2026-06-03,The Hindu,A_high_volume,COALINDIA,"Coal block scam: Delhi court summons Naveen Jindal, former Coal Secretary",,,,
eb09003a-3a9f-4e0e-ad37-08588e23e366,2026-05-23,The Hindu,A_high_volume,COALINDIA,"Singareni CMD wants no disruption in coal production, supply during rainy season",,,,
6ef3bcd8-ad1c-4078-9b14-dfd222dfe1d6,2026-06-09,Hindustan Times,A_high_volume,COALINDIA,"India explores Russian coking coal assets, more nickel supplies, sources say | Business News - Hindustan Times",,,,
24aae834-117f-42a0-957d-3eae8263387f,2026-06-04,The Hindu,A_high_volume,COALINDIA,"Trump announces $700 million funding for coal plants, energy infrastructure",,,,
9f600a16-87ee-4ad3-8806-cea6eac269fa,2026-05-24,Financial Express,A_high_volume,COALINDIA;POWERGRID,Coal flexibility push slows as storage gains edge in balancing India’s power grid - financialexpress.com,,,,
